hikeID,hike_name,region,distance_kms,elevation_mts,difficulty_level,stars,num_reviews,user_ratings,route_type_De punto a punto,route_type_Ida y vuelta,dog_friendly,kid_friendly,camping,trekking,near_water,mountain_biking,great_views,bird_watching,climbing,forests,trail_running,historic_place
57,Cerro de La Silleta,san luis potosí,7.1,692.0,3,4.0,1,[{'Jorge Carrillo': '4'}],0,1,0,0,0,1,1,0,1,1,1,1,0,0
14,"Barandales, Medio Muro, Punto Rojo, Disney and F1 Loop",ciudad de méxico,10.9,516.0,2,4.0,2,"[{'Katsuya Imanishi': '3'}, {'Hector  Hernandez Pons Riba ': '5'}]",0,0,0,0,0,1,0,1,1,0,0,1,0,0
121,La Huasteca ,nuevo león,12.9,278.0,1,5.0,3,"[{'Abraham Orozco': '5'}, {'Douglas Serrano': '5'}, {'Douglas Serrano': '5'}]",0,0,0,0,0,1,0,1,1,0,0,0,0,0
182,Playa Grande a Playa Chica,jalisco,7.2,62.0,1,5.0,2,"[{'Gabyotta Snap': '5'}, {'Gabyotta Snap': '5'}]",0,1,0,0,0,1,0,1,1,0,0,0,0,0
117,"Junior's, Nasty, Bench Trail Loop",baja california sur,8.0,246.0,1,5.0,3,"[{'Courtenay K': '5'}, {'Daniel Lees': '5'}, {'Debranne Cingari': '5'}]",0,0,0,0,0,1,0,1,0,1,0,0,0,0
110,Fundidora Park,nuevo león,3.5,41.0,1,4.0,3,"[{'Manuel Solis': '5'}, {'Alberto R.': '2'}, {'Manuel Solis': '5'}]",0,0,0,1,0,1,1,0,0,0,0,0,1,0
119,K21 Valle de Bravo: Adventure Marathon Series Course,estado de méxico,20.4,960.0,3,5.0,1,[{'Buzz LightRich': '5'}],0,0,0,0,0,1,0,0,1,0,0,1,1,0
185,Playa del Carmen Day Trip to Tulum,quintana roo,76.0,180.0,1,4.0,10,"[{'John Miller': '4'}, {'Mat BuenaVista': '1'}, {'Eric Gholston': '5'}, {'Pat Ribotto': '4'}, {'Ken Burneau': '5'}, {'Breck Tuttle': '5'}, {'yona kopolovich': '5'}, {'Matthew Kent': '5'}, {'Grayson Boyd': '5'}, {'Steve  Hazlehurst': '1'}]",1,0,1,1,0,1,0,0,1,1,0,1,0,0
96,El Chico Hidalgo,estado de hidalgo,3.5,294.0,1,3.0,1,[{'Hector Rode Haza': '3'}],0,0,0,0,0,1,1,0,1,0,0,0,0,0
135,Los Picachos,guanajuato,7.7,387.0,2,4.3,11,"[{'Erika Ganey': '5'}, {'Venisha Jeff': '5'}, {'Callie Houghland': '3'}, {'Jorge Carrillo': '4'}, {'Lani Elizabeth': '5'}, {'martin Banachiewicz': '3'}, {'Stephen Strand': '4'}, {'Jeff Pulford': '4'}, {'Paul Kortman': '4'}, {'Ben Debono': '5'}, {'Rob Cornelius': '5'}]",0,0,0,1,0,1,0,0,1,1,1,1,0,1
195,Punta Canoas,baja california,139.5,3233.0,2,5.0,1,[{'Ivan Alfredo': '5'}],0,1,0,0,0,0,0,0,1,1,0,0,0,0
137,Malecón de Mazatlan,sinaloa,9.8,57.0,1,4.5,13,"[{'Alejandra Flores': '5'}, {'Irma Karns': '4'}, {'David Covarrubias': '5'}, {'Greg Webb': '5'}, {'Teresa M.': '5'}, {'Dennis Galloway': '4'}, {'Janelle Pacheco': '4'}, {'Frank Hands': '4'}, {'Spencer N.': '5'}, {'Tony Sierra': '4'}, {'Tony Sierra': '5'}, {'Fernando Mendez': '5'}, {'James Y': '4'}]",0,1,1,1,0,0,0,0,1,0,0,0,1,0
218,Sendero Cerro Viejo,jalisco,17.9,1137.0,3,5.0,1,[{'Dany Vic': '5'}],0,1,0,0,0,1,0,0,1,0,1,1,0,0
71,Ciclovia Revolucion y Ciclovia Patriotismo,ciudad de méxico,7.7,104.0,1,5.0,1,[{'Enrique Huato': '5'}],1,0,1,0,0,0,0,0,0,0,0,0,0,0
36,Carretera La Venta Santa Rosa Loop,ciudad de méxico,7.4,353.0,2,2.0,1,[{'Buzz LightRich': '2'}],0,0,1,0,0,1,0,1,1,0,0,1,1,0
